Id,Name,City,State,Country,Region,IATA,ICAO,Latitude,Longitude,Elevation,UTC,DST
6319,Pormpuraaw Airport,Pormpuraaw,Brisbane,Australia,Australia,EDR,YPMP,-14.8967,141.609,10,10,O
6320,Port Macquarie Airport,Port Macquarie,Sydney,Australia,Australia,PQQ,YPMQ,-31.4358,152.863,12,10,O
6321,Portland Airport,Portland,Hobart,Australia,Australia,PTJ,YPOD,-38.3181,141.471,265,10,O
6322,Quilpie Airport,Quilpie,Brisbane,Australia,Australia,ULP,YQLP,-26.6122,144.253,655,10,O
6323,Ramingining Airport,Ramingining,Darwin,Australia,Australia,RAM,YRNG,-12.3564,134.898,206,9.5,O
6324,Roma Airport,Roma,Brisbane,Australia,Australia,RMA,YROM,-26.545,148.775,1032,10,O
6325,St George Airport,St George,Brisbane,Australia,Australia,SGO,YSGE,-28.0497,148.595,656,10,O
6326,Shark Bay Airport,Shark Bay,Perth,Australia,Australia,MJK,YSHK,-25.8939,113.577,111,8,O
6327,Saibai Island Airport,Saibai Island,NULL,Australia,#VALUE!,SBR,YSII,-9.37833,142.625,0,10,O
6328,Strahan Airport,Strahan,Melbourne,Australia,Australia,SRN,YSRN,-42.155,145.292,20,10,O
6329,Thargomindah Airport,Thargomindah,Brisbane,Australia,Australia,XTG,YTGM,-27.9864,143.811,433,10,O
6330,Tennant Creek Airport,Tennant Creek,Darwin,Australia,Australia,TCA,YTNK,-19.6344,134.183,1236,9.5,O
6331,Victoria River Downs Airport,Victoria River Downs,Darwin,Australia,Australia,VCD,YVRD,-16.4033,131.002,89,9.5,O
6332,Warraber Island Airport,Sue Islet,Brisbane,Australia,Australia,SYU,YWBS,-10.2083,142.825,3,10,O
6333,Windorah Airport,Windorah,Brisbane,Australia,Australia,WNR,YWDH,-25.4131,142.667,452,10,O
6334,Whyalla Airport,Whyalla,Adelaide,Australia,Australia,WYA,YWHA,-33.0589,137.514,41,9.5,O
6335,Wiluna Airport,Wiluna,Perth,Australia,Australia,WUN,YWLU,-26.6292,120.221,1649,8,O
6336,Wollongong Airport,Wollongong,Sydney,Australia,Australia,WOL,YWOL,-34.5611,150.789,31,10,O
6337,Winton Airport,Winton,Brisbane,Australia,Australia,WIN,YWTN,-22.3636,143.086,638,10,O
6338,Wynyard Airport,Burnie,Melbourne,Australia,Australia,BWT,YWYY,-40.9989,145.731,62,10,O
6339,Yorke Island Airport,Yorke Island,NULL,Australia,#VALUE!,OKR,YYKI,-9.75703,143.411,0,10,O
6340,Yam Island Airport,Yam Island,NULL,Australia,#VALUE!,XMY,YYMI,-9.90111,142.776,0,10,O
6341,Beijing Nanyuan Airport,Beijing,Chongqing,China,Asia,NAY,ZBBB,39.7825,116.387778,0,8,U
6342,Chifeng Airport,Chifeng,Chongqing,China,Asia,CIF,ZBCF,42.235,118.908,0,8,U
6343,Changzhi Airport,Changzhi,Chongqing,China,Asia,CIH,ZBCZ,36.2475,113.126,0,8,U
6344,Datong Airport,Datong,Chongqing,China,Asia,DAT,ZBDT,40.0603,113.482,3442,8,U
6345,Baita Airport,Hohhot,Chongqing,China,Asia,HET,ZBHH,40.851422,111.824103,3556,8,U
6346,Baotou Airport,Baotou,Chongqing,China,Asia,BAV,ZBOW,40.56,109.997,3321,8,U
6347,Shijiazhuang Daguocun International Airport,Shijiazhuang,Chongqing,China,Asia,SJW,ZBSJ,38.280686,114.6973,233,8,U
6348,Tongliao Airport,Tongliao,Chongqing,China,Asia,TGO,ZBTL,43.5567,122.2,0,8,U
6349,Ulanhot Airport,Ulanhot,Chongqing,China,Asia,HLH,ZBUL,46.083,122.017,0,8,U
6350,Xilinhot Airport,Xilinhot,Chongqing,China,Asia,XIL,ZBXH,43.9156,115.964,0,8,U
6351,Beihai Airport,Beihai,Chongqing,China,Asia,BHY,ZGBH,21.5394,109.294,0,8,U
6352,Changde Airport,Changde,Chongqing,China,Asia,CGD,ZGCD,28.9189,111.64,0,8,U
6353,Dayong Airport,Dayong,Chongqing,China,Asia,DYG,ZGDY,29.1028,110.443,692,8,U
6354,Meixian Airport,Meixian,Chongqing,China,Asia,MXZ,ZGMX,24.35,116.133,0,8,U
6355,Zhuhai Airport,Zhuhai,Chongqing,China,Asia,ZUH,ZGSD,22.0064,113.376,0,8,U
6356,Bailian Airport,Liuzhou,Chongqing,China,Asia,LZH,ZGZH,24.2075,109.391,295,8,U
6357,Zhanjiang Airport,Zhanjiang,Chongqing,China,Asia,ZHA,ZGZJ,21.2144,110.358,0,8,U
6358,Enshi Airport,Enshi,Chongqing,China,Asia,ENH,ZHES,30.3203,109.485,0,8,U
6359,Nanyang Airport,Nanyang,Chongqing,China,Asia,NNY,ZHNY,32.9808,112.615,0,8,U
6360,Xiangfan Airport,Xiangfan,Chongqing,China,Asia,XFN,ZHXF,32.1506,112.291,0,8,U
6361,Yichang Airport,Yichang,Chongqing,China,Asia,YIH,ZHYC,30.671,111.441,0,8,U
6362,Ankang Airport,Ankang,Chongqing,China,Asia,AKA,ZLAK,32.7081,108.931,0,8,U
6363,Golmud Airport,Golmud,Chongqing,China,Asia,GOQ,ZLGM,34.633,98.867,0,8,U
6364,Hanzhong Airport,Hanzhong,Chongqing,China,Asia,HZG,ZLHZ,33.0636,107.008,0,8,U
6365,Qingyang Airport,Qingyang,Chongqing,China,Asia,IQN,ZLQY,35.7997,107.603,0,8,U
6366,Xining Caojiabu Airport,Xining,Chongqing,China,Asia,XNN,ZLXN,36.5275,102.043,0,8,U
6367,Yan'an Airport,Yan'an,Chongqing,China,Asia,ENY,ZLYA,36.6369,109.554,0,8,U
6368,Yulin Airport,Yulin,Chongqing,China,Asia,UYN,ZLYL,38.2692,109.731,0,8,U
6369,Arvaikheer Airport,Arvaikheer,Ulaanbaatar,Mongolia,Asia,AVK,ZMAH,46.2503,102.802,5932,8,U
6370,Altai Airport,Altai,Ulaanbaatar,Mongolia,Asia,LTI,ZMAT,46.3764,96.2211,7260,8,U
6371,Bayankhongor Airport,Bayankhongor,Ulaanbaatar,Mongolia,Asia,BYN,ZMBH,46.1633,100.704,6085,8,U
6372,Dalanzadgad Airport,Dalanzadgad,Ulaanbaatar,Mongolia,Asia,DLZ,ZMDZ,43.5917,104.43,4787,8,U
6373,Khovd Airport,Khovd,Hovd,Mongolia,Asia,HVD,ZMKD,47.9541,91.6282,4898,7,U
6374,Muren Airport,Muren,Ulaanbaatar,Mongolia,Asia,MXV,ZMMN,49.6633,100.099,4272,8,U
6375,Diqing Airport,Shangri-La,Chongqing,China,Asia,DIG,ZPDQ,27.7936,99.6772,0,8,U
6376,Mangshi Airport,Luxi,Chongqing,China,Asia,LUM,ZPLX,24.4011,98.5317,2890,8,U
6377,Simao Airport,Simao,Chongqing,China,Asia,SYM,ZPSM,22.7933,100.959,0,8,U
6378,Zhaotong Airport,Zhaotong,Chongqing,China,Asia,ZAT,ZPZT,27.3256,103.755,0,8,U
6379,Ganzhou Airport,Ganzhou,Chongqing,China,Asia,KOW,ZSGZ,25.8258,114.912,0,8,U
6380,Jingdezhen Airport,Jingdezhen,Chongqing,China,Asia,JDZ,ZSJD,29.3386,117.176,112,8,U
6381,Jiujiang Lushan Airport,Jiujiang,Chongqing,China,Asia,JIU,ZSJJ,29.733,115.983,0,8,U
6382,Quzhou Airport,Quzhou,Chongqing,China,Asia,JUZ,ZSJU,28.9658,118.899,0,8,U
6383,Lianyungang Airport,Lianyungang,Chongqing,China,Asia,LYG,ZSLG,34.55,119.25,0,8,U
6384,Huangyan Luqiao Airport,Huangyan,Chongqing,China,Asia,HYN,ZSLQ,28.5622,121.429,0,8,U
6385,Shubuling Airport,Linyi,Chongqing,China,Asia,LYI,ZSLY,35.0461,118.412,0,8,U
6386,Quanzhou Airport,Quanzhou,Chongqing,China,Asia,JJN,ZSQZ,24.7964,118.59,0,8,U
6387,Tunxi International Airport,Huangshan,Chongqing,China,Asia,TXN,ZSTX,29.7333,118.256,0,8,U
6388,Weifang Airport,Weifang,Chongqing,China,Asia,WEF,ZSWF,36.6467,119.119,0,8,U
6389,Weihai Airport,Weihai,Chongqing,China,Asia,WEH,ZSWH,37.1871,122.229,145,8,U
6390,Wuxi Airport,Wuxi,Chongqing,China,Asia,WUX,ZSWX,31.4944,120.429,0,8,U
6391,Nanping Wuyishan Airport,Wuyishan,Chongqing,China,Asia,WUS,ZSWY,27.7019,118.001,614,8,U
6392,Wenzhou Yongqiang Airport,Wenzhou,Chongqing,China,Asia,WNZ,ZSWZ,27.9122,120.852,0,8,U
6393,Yancheng Airport,Yancheng,Chongqing,China,Asia,YNZ,ZSYN,33.3856,120.125,0,8,U
6394,Yiwu Airport,Yiwu,Chongqing,China,Asia,YIW,ZSYW,29.3447,120.032,0,8,U
6395,Zhoushan Airport,Zhoushan,Chongqing,China,Asia,HSN,ZSZS,29.9342,122.362,0,8,U
6396,Qamdo Bangda Airport,Bangda,Chongqing,China,Asia,BPX,ZUBD,30.5536,97.1083,14219,8,U
6397,Dachuan Airport,Dazhou,Chongqing,China,Asia,DAX,ZUDX,31.3,107.5,0,8,U
